Product Name,Specifications,Rating,Price,Battery Life,Weight,Webcam,Display Size,Brand,Processor,RAM,DDR,OS,Storage,Display,Warranty,Specification
Lenovo IdeaPad Slim 5,Intel Core i 5 Processor (13th Gen)16 GB DDR 5 RAMWindows 11 Home Operating System 1 TB SSD 35.56 cm (14 inch) DisplayOffice Home 20241 Year Carry-in Warranty,Not found,97290,Integrated 60Wh,1.39 Kg,"FHD 1080p + IR with Privacy Shutter, ToF Sensor",35.56 cm (14 inch),Lenovo,Intel Core i 5 Processor (13th Gen),16 GB,DDR,Windows 11 Home,1 TB SSD,35.56 cm (14 inch),20241 Year Carry-in Warranty,"Product: Lenovo IdeaPad Slim 5, Brand: Lenovo, Rating: Not found, Price: ₹97290, Processor: Intel Core i 5 Processor (13th Gen), RAM: 16 GB GB, DDR: DDR, OS: Windows 11 Home, Storage: 1 TB SSD, Weight: 1.39 Kg kg, Warranty: 20241 Year Carry-in Warranty"
MOTOROLA Motobook 60 Full Metal,Intel Core 7 (Series 2) Processor 16 GB DDR 5 RAM 64 bit Windows 11 Operating System 512 GB SSD 35.56 cm (14 Inch) DisplayOffice Home 20241 Year Onsite Warranty,4.2,70990,Lithium-Polymer,1.4 Kg,Finger Print Sensor,35.56 cm (14 Inch),MOTOROLA,Not found,16 GB,DDR,Windows 11,512 GB SSD,35.56 cm (14 Inch),20241 Year Onsite Warranty,"Product: MOTOROLA Motobook 60 Full Metal, Brand: MOTOROLA, Rating: 4.2, Price: ₹70990, Processor: Not found, RAM: 16 GB GB, DDR: DDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.4 Kg kg, Warranty: 20241 Year Onsite Warranty"
Acer Aspire 3,Intel Celeron Dual Core Processor 8 GB DDR 4 RAM 64 bit Windows 11 Home Operating System 256 GB SSD 29.46 cm (11.6 inch) Display 1 Year Warranty,3.8,15990,MS Office Provided,1.0 kg,1280 x 720 Resolution/720p HD Video,29.46 cm (11.6 inch),Acer,Not found,8 GB,DDR,Windows 11 Home,256 GB SSD,29.46 cm (11.6 inch),1 Year Warranty,"Product: Acer Aspire 3, Brand: Acer, Rating: 3.8, Price: ₹15990, Processor: Not found, RAM: 8 GB GB, DDR: DDR, OS: Windows 11 Home, Storage: 256 GB SSD, Weight: 1.0 kg kg, Warranty: 1 Year Warranty"
ASUS Vivobook 15,Intel Core i 3 Processor (13th Gen)8 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite Warranty,4.2,35990,3 Cell,1.70 Kg,720p HD camera With privacy shutter,39.62 cm (15.6 Inch),ASUS,Intel Core i 3 Processor (13th Gen),8 GB,DDR,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),1 Year Onsite Warranty,"Product: ASUS Vivobook 15, Brand: ASUS, Rating: 4.2, Price: ₹35990, Processor: Intel Core i 3 Processor (13th Gen), RAM: 8 GB GB, DDR: DDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.70 Kg kg, Warranty: 1 Year Onsite Warranty"
SAMSUNG Galaxy Book4 Metal,Intel Core i 5 Processor (13th Gen)16 GB LPDDR 4X RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,4.5,54990,MS Office Provided,1.55 Kg,"Yes, 1 Megapixel",39.62 cm (15.6 Inch),SAMSUNG,Intel Core i 5 Processor (13th Gen),16 GB,LPDDR,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),Not found,"Product: SAMSUNG Galaxy Book4 Metal, Brand: SAMSUNG, Rating: 4.5, Price: ₹54990, Processor: Intel Core i 5 Processor (13th Gen), RAM: 16 GB GB, DDR: LPDDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.55 Kg kg, Warranty: Not found"
HP 15,AMD Ryzen 3 Quad Core Processor 8 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite Warranty,4.2,29990,Not found,1.59 Kg,HP True Vision 1080p FHD camera,39.62 cm (15.6 Inch),HP,Not found,8 GB,DDR,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),1 Year Onsite Warranty,"Product: HP 15, Brand: HP, Rating: 4.2, Price: ₹29990, Processor: Not found, RAM: 8 GB GB, DDR: DDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.59 Kg kg, Warranty: 1 Year Onsite Warranty"
ASUS Vivobook 15,Intel Core i 3 Processor (13th Gen)8 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Onsite warranty,4.2,35990,Not found,1.70 Kg,720p HD camera With privacy shutter,39.62 cm (15.6 Inch),ASUS,Intel Core i 3 Processor (13th Gen),8 GB,DDR,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),Not found,"Product: ASUS Vivobook 15, Brand: ASUS, Rating: 4.2, Price: ₹35990, Processor: Intel Core i 3 Processor (13th Gen), RAM: 8 GB GB, DDR: DDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.70 Kg kg, Warranty: Not found"
Acer Aspire 3,Intel Core i 5 Processor (13th Gen)16 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 35.56 cm (14 Inch) Display 1 Year Carry-in Warranty,4.4,40990,Not found,1.45 Kg,Video conferencing: 2M With Privacy Camera Shutter,35.56 cm (14 Inch),Acer,Intel Core i 5 Processor (13th Gen),16 GB,DDR,Windows 11,512 GB SSD,35.56 cm (14 Inch),1 Year Carry-in Warranty,"Product: Acer Aspire 3, Brand: Acer, Rating: 4.4, Price: ₹40990, Processor: Intel Core i 5 Processor (13th Gen), RAM: 16 GB GB, DDR: DDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.45 Kg kg, Warranty: 1 Year Carry-in Warranty"
Acer Aspire 3 Backlit,AMD Ryzen 7 Octa Core Processor 16 GB DDR 4 RAMWindows 11 Operating System 512 GB SSD 39.62 cm (15.6 Inch) Display 1 Year Carry-in Warranty,4,36990,Not found,1.79 Kg,Full HD camera,39.62 cm (15.6 Inch),Acer,Not found,16 GB,DDR,Windows 11,512 GB SSD,39.62 cm (15.6 Inch),1 Year Carry-in Warranty,"Product: Acer Aspire 3 Backlit, Brand: Acer, Rating: 4, Price: ₹36990, Processor: Not found, RAM: 16 GB GB, DDR: DDR, OS: Windows 11, Storage: 512 GB SSD, Weight: 1.79 Kg kg, Warranty: 1 Year Carry-in Warranty"
Acer Aspire 3,Intel Celeron Dual Core Processor 8 GB DDR 4 RAM 64 bit Windows 11 Home Operating System 128 GB SSD 29.46 cm (11.6 inch) Display 1 Year Warranty,3.8,14990,MS Office Provided,1.0 kg,1280 x 720 Resolution/720p HD Video,29.46 cm (11.6 inch),Acer,Not found,8 GB,DDR,Windows 11 Home,128 GB SSD,29.46 cm (11.6 inch),1 Year Warranty,"Product: Acer Aspire 3, Brand: Acer, Rating: 3.8, Price: ₹14990, Processor: Not found, RAM: 8 GB GB, DDR: DDR, OS: Windows 11 Home, Storage: 128 GB SSD, Weight: 1.0 kg kg, Warranty: 1 Year Warranty"
